Producto,Unidad,Stock,Costo unit.,Costo total
SALSA CHILQUI,GR,0,11900,0
SALSA DE MARACUYA,GR,0,4900,0
SALSA EMMI,GR,0,13900,0
SALSA GUACAMOLE,GR,0,29,0
SALSA HUMO,ML,0,11,0
SALSA MOZTASA,ML,0,8,0
SALSA PESTO,GR,0,1600,0
SALSA SABOR LEÑA,GR,0,26,0
SALSA SOYA,ML,0,8,0
SALSA TARTARA,GR,0,4800,0
SALSA TOMATE,ML,0,19,0
SOUR CREAM,ML,0,30,0
TARTARA,GR,0,10800,0
TOCINETA,Unidad,0,20,0
TOMATE,GR,0,7000,0
TOMATE CHERRY,GR,0,14,0
TOMATE MILANO,GR,0,5,0
TORTILLA,GR,0,13400,0
TORTILLAS BIMBO,Unidad,0,2231,0
VINAGRE,ML,0,2,0
YUCA,GR,0,4,0
ZANAHORIA,GR,0,4,0
